Total Accesses:,7086622
Frames,Missees,Miss Rate
1,6136303,0.865900
2,4616423,0.651428
3,4562589,0.643831
4,4527849,0.638929
5,4510879,0.636534
6,4499408,0.634916
7,4482214,0.632489
8,4448031,0.627666
9,4392682,0.619856
10,4337137,0.612018
11,4304384,0.607396
12,4281041,0.604102
13,4260787,0.601244
14,4238052,0.598036
15,4213293,0.594542
16,4190491,0.591324
17,4170844,0.588552
18,4153090,0.586046
19,4135792,0.583606
20,4118557,0.581174
21,4101065,0.578705
22,4083907,0.576284
23,4067782,0.574009
24,4053371,0.571975
25,4040758,0.570195
26,4030188,0.568704
27,4021043,0.567413
28,4013311,0.566322
29,4006748,0.565396
30,4001239,0.564619
31,3996525,0.563953
32,3992555,0.563393
33,3989022,0.562895
34,3985970,0.562464
35,3983191,0.562072
36,3980643,0.561712
37,3978371,0.561392
38,3976285,0.561097
39,3974311,0.560819
40,3972467,0.560559
41,3970749,0.560316
42,3969107,0.560084
43,3967574,0.559868
44,3966034,0.559651
45,3964590,0.559447
46,3963143,0.559243
47,3961709,0.559041
48,3960348,0.558848
49,3959018,0.558661
50,3957762,0.558484
51,3956552,0.558313
52,3955327,0.558140
53,3954215,0.557983
54,3953085,0.557824
55,3951972,0.557667
56,3950873,0.557511
57,3949818,0.557363
58,3948786,0.557217
59,3947814,0.557080
60,3946817,0.556939
61,3945857,0.556804
62,3944889,0.556667
63,3943890,0.556526
64,3942936,0.556391
65,3942029,0.556263
66,3941236,0.556152
67,3940397,0.556033
68,3939531,0.555911
69,3938678,0.555791
70,3937886,0.555679
71,3937043,0.555560
72,3936275,0.555452
73,3935492,0.555341
74,3934782,0.555241
75,3933980,0.555128
76,3933261,0.555026
77,3932487,0.554917
78,3931782,0.554818
79,3931073,0.554717
80,3930367,0.554618
81,3929688,0.554522
82,3929043,0.554431
83,3928398,0.554340
84,3927755,0.554249
85,3927144,0.554163
86,3926492,0.554071
87,3925874,0.553984
88,3925278,0.553900
89,3924666,0.553813
90,3924043,0.553725
91,3923426,0.553638
92,3922885,0.553562
93,3922342,0.553485
94,3921819,0.553412
95,3921291,0.553337
96,3920765,0.553263
97,3920259,0.553191
98,3919716,0.553115
99,3919213,0.553044
100,3918736,0.552977
101,3918222,0.552904
102,3917716,0.552833
103,3917255,0.552768
104,3916776,0.552700
105,3916280,0.552630
106,3915780,0.552559
107,3915339,0.552497
108,3914881,0.552433
109,3914406,0.552366
110,3913944,0.552300
111,3913487,0.552236
112,3913002,0.552167
113,3912495,0.552096
114,3912064,0.552035
115,3911604,0.551970
116,3911148,0.551906
117,3910697,0.551842
118,3910281,0.551783
119,3909895,0.551729
120,3909485,0.551671
121,3909058,0.551611
122,3908675,0.551557
123,3908231,0.551494
124,3907793,0.551432
125,3907397,0.551377
126,3907026,0.551324
127,3906650,0.551271
128,3906279,0.551219
129,3905897,0.551165
130,3905504,0.551109
131,3905103,0.551053
132,3904730,0.551000
133,3904319,0.550942
134,3903968,0.550893
135,3903603,0.550841
136,3903266,0.550794
137,3902943,0.550748
138,3902617,0.550702
139,3902269,0.550653
140,3901948,0.550608
141,3901611,0.550560
142,3901306,0.550517
143,3900990,0.550472
144,3900667,0.550427
145,3900343,0.550381
146,3900057,0.550341
147,3899737,0.550296
148,3899451,0.550255
149,3899160,0.550214
150,3898860,0.550172
151,3898590,0.550134
152,3898303,0.550093
153,3898022,0.550054
154,3897753,0.550016
155,3897475,0.549976
156,3897222,0.549941
157,3896950,0.549902
158,3896689,0.549866
159,3896409,0.549826
160,3896141,0.549788
161,3895870,0.549750
162,3895611,0.549713
163,3895347,0.549676
164,3895066,0.549636
165,3894801,0.549599
166,3894550,0.549564
167,3894287,0.549527
168,3894019,0.549489
169,3893770,0.549454
170,3893511,0.549417
171,3893230,0.549377
172,3892995,0.549344
173,3892743,0.549309
174,3892476,0.549271
175,3892226,0.549236
176,3891979,0.549201
177,3891750,0.549169
178,3891513,0.549135
179,3891281,0.549102
180,3891056,0.549071
181,3890787,0.549033
182,3890546,0.548999
183,3890318,0.548966
184,3890088,0.548934
185,3889865,0.548903
186,3889671,0.548875
187,3889450,0.548844
188,3889235,0.548814
189,3889000,0.548781
190,3888774,0.548749
191,3888550,0.548717
192,3888350,0.548689
193,3888153,0.548661
194,3887952,0.548633
195,3887755,0.548605
196,3887538,0.548574
197,3887341,0.548546
198,3887143,0.548518
199,3886934,0.548489
200,3886720,0.548459
201,3886509,0.548429
202,3886315,0.548402
203,3886114,0.548373
204,3885915,0.548345
205,3885724,0.548318
206,3885528,0.548291
207,3885352,0.548266
208,3885160,0.548239
209,3884964,0.548211
210,3884768,0.548183
211,3884568,0.548155
212,3884391,0.548130
213,3884203,0.548104
214,3884014,0.548077
215,3883834,0.548052
216,3883655,0.548026
217,3883442,0.547996
218,3883254,0.547970
219,3883061,0.547942
220,3882876,0.547916
221,3882712,0.547893
222,3882547,0.547870
223,3882344,0.547841
224,3882139,0.547812
225,3881968,0.547788
226,3881775,0.547761
227,3881593,0.547735
228,3881432,0.547713
229,3881244,0.547686
230,3881060,0.547660
231,3880871,0.547633
232,3880691,0.547608
233,3880539,0.547587
234,3880374,0.547563
235,3880191,0.547537
236,3880002,0.547511
237,3879837,0.547488
238,3879648,0.547461
239,3879475,0.547436
240,3879282,0.547409
241,3879135,0.547388
242,3878963,0.547364
243,3878800,0.547341
244,3878642,0.547319
245,3878484,0.547297
246,3878336,0.547276
247,3878154,0.547250
248,3877981,0.547226
249,3877812,0.547202
250,3877665,0.547181
251,3877518,0.547160
252,3877351,0.547137
253,3877190,0.547114
254,3877035,0.547092
255,3876875,0.547070
256,3876713,0.547047
257,3876542,0.547023
258,3876406,0.547003
259,3876274,0.546985
260,3876133,0.546965
261,3876000,0.546946
262,3875838,0.546923
263,3875698,0.546903
264,3875568,0.546885
265,3875417,0.546864
266,3875271,0.546843
267,3875165,0.546828
268,3875012,0.546807
269,3874883,0.546788
270,3874724,0.546766
271,3874594,0.546748
272,3874440,0.546726
273,3874282,0.546704
274,3874164,0.546687
275,3874024,0.546667
276,3873875,0.546646
277,3873742,0.546627
278,3873602,0.546608
279,3873464,0.546588
280,3873327,0.546569
281,3873197,0.546551
282,3873057,0.546531
283,3872932,0.546513
284,3872803,0.546495
285,3872662,0.546475
286,3872525,0.546456
287,3872418,0.546441
288,3872292,0.546423
289,3872169,0.546405
290,3872032,0.546386
291,3871894,0.546367
292,3871765,0.546348
293,3871641,0.546331
294,3871531,0.546315
295,3871416,0.546299
296,3871279,0.546280
297,3871162,0.546263
298,3871038,0.546246
299,3870918,0.546229
300,3870786,0.546210
301,3870684,0.546196
302,3870560,0.546178
303,3870456,0.546164
304,3870321,0.546145
305,3870222,0.546131
306,3870109,0.546115
307,3869991,0.546098
308,3869865,0.546080
309,3869755,0.546065
310,3869627,0.546047
311,3869514,0.546031
312,3869412,0.546016
313,3869298,0.546000
314,3869195,0.545986
315,3869085,0.545970
316,3868959,0.545953
317,3868848,0.545937
318,3868723,0.545919
319,3868613,0.545904
320,3868474,0.545884
321,3868355,0.545867
322,3868236,0.545850
323,3868126,0.545835
324,3868020,0.545820
325,3867910,0.545804
326,3867807,0.545790
327,3867698,0.545775
328,3867605,0.545761
329,3867507,0.545748
330,3867382,0.545730
331,3867262,0.545713
332,3867148,0.545697
333,3867032,0.545681
334,3866914,0.545664
335,3866800,0.545648
336,3866703,0.545634
337,3866605,0.545620
