Total Accesses:,7086622
Frames,Missees,Miss Rate
1,6188885,0.873319
2,4734579,0.668101
3,4613106,0.650960
4,4532337,0.639562
5,4493633,0.634101
6,4465352,0.630110
7,4423552,0.624212
8,4342911,0.612832
9,4212536,0.594435
10,4080574,0.575814
11,3997190,0.564047
12,3940768,0.556086
13,3893182,0.549371
14,3841850,0.542127
15,3785934,0.534237
16,3733085,0.526779
17,3686226,0.520167
18,3643910,0.514196
19,3603044,0.508429
20,3562739,0.502742
21,3521994,0.496992
22,3482355,0.491398
23,3445274,0.486166
24,3411442,0.481392
25,3381830,0.477213
26,3356543,0.473645
27,3335348,0.470654
28,3317060,0.468074
29,3301783,0.465918
30,3288697,0.464071
31,3277286,0.462461
32,3267681,0.461106
33,3259391,0.459936
34,3251935,0.458884
35,3245312,0.457949
36,3239341,0.457107
37,3233828,0.456329
38,3228884,0.455631
39,3224203,0.454970
40,3219876,0.454360
41,3215787,0.453783
42,3212019,0.453251
43,3208276,0.452723
44,3204775,0.452229
45,3201326,0.451742
46,3198087,0.451285
47,3194818,0.450824
48,3191738,0.450389
49,3188689,0.449959
50,3185850,0.449558
51,3183034,0.449161
52,3180280,0.448772
53,3177487,0.448378
54,3174898,0.448013
55,3172308,0.447647
56,3169724,0.447283
57,3167232,0.446931
58,3164841,0.446594
59,3162480,0.446261
60,3160193,0.445938
61,3157836,0.445605
62,3155642,0.445296
63,3153428,0.444983
64,3151158,0.444663
65,3148997,0.444358
66,3146911,0.444064
67,3144850,0.443773
68,3142823,0.443487
69,3140854,0.443209
70,3138865,0.442928
71,3136917,0.442653
72,3134963,0.442378
73,3133017,0.442103
74,3131070,0.441828
75,3129207,0.441565
76,3127237,0.441287
77,3125399,0.441028
78,3123557,0.440768
79,3121710,0.440507
80,3119822,0.440241
81,3118008,0.439985
82,3116176,0.439727
83,3114435,0.439481
84,3112736,0.439241
85,3111178,0.439021
86,3109527,0.438788
87,3107927,0.438563
88,3106374,0.438343
89,3104920,0.438138
90,3103460,0.437932
91,3102060,0.437735
92,3100682,0.437540
93,3099211,0.437333
94,3097850,0.437141
95,3096516,0.436952
96,3095126,0.436756
97,3093779,0.436566
98,3092461,0.436380
99,3091257,0.436210
100,3089958,0.436027
101,3088674,0.435846
102,3087485,0.435678
103,3086251,0.435504
104,3085018,0.435330
105,3083777,0.435155
106,3082595,0.434988
107,3081355,0.434813
108,3080212,0.434652
109,3079031,0.434485
110,3077872,0.434321
111,3076724,0.434159
112,3075668,0.434010
113,3074528,0.433850
114,3073434,0.433695
115,3072325,0.433539
116,3071230,0.433384
117,3070167,0.433234
118,3069064,0.433079
119,3068002,0.432929
120,3066934,0.432778
121,3065868,0.432628
